,sale_day,city,adress,floor,size,price
111,19.12.2022,תל אביב-יפו,צייטלין 7, ,71,"5,300,000"
112,19.12.2022,תל אביב-יפו,בלוך דוד 36,שישית,95,"7,700,000"
113,19.12.2022,תל אביב-יפו,יהודה הימית 25,שלישית,64,"3,150,000"
114,19.12.2022,תל אביב-יפו,בגין 144,שלושים ושלוש,68,"3,820,000"
115,18.12.2022,תל אביב-יפו,מרים החשמונאית 14,ראשונה,70.60,"4,095,000"
116,18.12.2022,תל אביב-יפו,גולדברג לאה 20,קומה 7,71.04,"4,150,000"
117,15.12.2022,תל אביב-יפו,"ציהתל""י 51",שניה,47,"2,150,000"
118,13.12.2022,תל אביב-יפו,בארט 12, ,70,"2,900,000"
119,12.12.2022,תל אביב-יפו,מייזל זלמן 7,ראשונה,64.90,"2,350,000"
120,12.12.2022,תל אביב-יפו,רובינשטין 3,ראשונה,61,"2,180,000"
121,12.12.2022,תל אביב-יפו,בוקי בן יגלי 9,רביעית,68,"5,380,000"
122,12.12.2022,תל אביב-יפו,בוגרשוב 44,רביעית וגג,75.08,"4,600,000"
123,11.12.2022,תל אביב-יפו,צייטלין 9,-,75,"5,700,000"
124,08.12.2022,תל אביב-יפו,קיוסו אלברט 14,חמישית,79,"3,650,000"
125,08.12.2022,תל אביב-יפו,בית אל 47,אחת עשרה,69,"3,347,000"
126,08.12.2022,תל אביב-יפו,רב צעיר 12,חמישית,84,"5,725,000"
127,07.12.2022,תל אביב-יפו,תוצרת הארץ 5,עשרים ותשע,76,"4,314,000"
128,07.12.2022,תל אביב-יפו,פנקס 24,שישית,61,"4,395,000"
129,07.12.2022,תל אביב-יפו, ,ראשונה,68,"2,748,000"
130,07.12.2022,תל אביב-יפו,דיזנגוף 135,ראשונה,79,"7,125,000"
131,06.12.2022,תל אביב-יפו,נורדאו 81,שניה,63,"4,200,000"
132,06.12.2022,תל אביב-יפו,נורדאו 5,שלישית,71,"4,840,000"
133,06.12.2022,תל אביב-יפו,נורדאו 5, ,86,"5,118,000"
134,06.12.2022,תל אביב-יפו,דיזנגוף 135, ,79,"7,125,000"
135,06.12.2022,תל אביב-יפו,נורדאו 5, ,71,"4,970,000"
136,06.12.2022,תל אביב-יפו,נורדאו 3, ,83,"5,790,000"
137,06.12.2022,תל אביב-יפו,נורדאו 5, ,71,"4,880,000"
138,06.12.2022,תל אביב-יפו,דיזנגוף 137, ,79,"7,125,000"
139,06.12.2022,תל אביב-יפו,תוצרת הארץ 5, ,72,"4,314,000"
140,06.12.2022,תל אביב-יפו,פנקס 24, ,61,"4,395,983"
141,05.12.2022,תל אביב-יפו,צייטלין 9,-,75,"4,000,000"
142,05.12.2022,תל אביב-יפו,"אפ""ק 1",שישית,93,"7,000,000"
143,04.12.2022,תל אביב-יפו,ארלוזורוב 194,-,80.37,"4,200,000"
144,04.12.2022,תל אביב-יפו,"אפ""ק 1",שישית,93,"7,000,000"
145,04.12.2022,תל אביב-יפו,סוקולוב 35,רביעית,79,"6,150,000"
146,01.12.2022,תל אביב-יפו,עמק איילון 5,שניה,68,"3,178,000"
147,01.12.2022,תל אביב-יפו,משגב עם 16,ראשונה,87,"3,000,000"
148,01.12.2022,תל אביב-יפו,אנטיגונוס 1,שלישית,83,"6,200,000"
149,30.11.2022,תל אביב-יפו,המבצעים 6,שניה,67.60,"3,350,000"
150,30.11.2022,תל אביב-יפו,סנפיר 6,שישית,89,"2,620,000"
151,30.11.2022,תל אביב-יפו,קרוא ברוך 24,רביעית,63.72,"2,200,000"
152,30.11.2022,תל אביב-יפו, ,עשרים ושבע,73,"3,870,000"
153,30.11.2022,תל אביב-יפו,אנטיגונוס 1, ,83,"6,200,000"
154,30.11.2022,תל אביב-יפו,בן ציון 11,שניה,58,"1,640,000"
155,29.11.2022,תל אביב-יפו,מקראי קדש 15,רביעית,54.29,"1,800,000"
156,29.11.2022,תל אביב-יפו,ברנר 11,שלישית,67,"4,450,000"
157,29.11.2022,תל אביב-יפו,סנפיר 6,שישית,89,"2,620,000"
158,29.11.2022,תל אביב-יפו,ברנר 11,שלישית,67,"4,300,000"
159,28.11.2022,תל אביב-יפו,הגבור האלמוני 46,חמישית,80.40,"3,180,000"
160,28.11.2022,תל אביב-יפו,פאת השולחן 13,שניה,60.56,"1,425,000"
161,27.11.2022,תל אביב-יפו,מרים החשמונאית 14,שלישית,70.60,"3,486,500"
162,27.11.2022,תל אביב-יפו, ,שניה,79,"3,890,000"
163,27.11.2022,תל אביב-יפו,קיוסו אלברט 14,חמישית,81,"4,070,000"
164,26.11.2022,תל אביב-יפו, ,ראשונה,83,"3,890,000"
165,25.11.2022,תל אביב-יפו,בזל 44,שניה,72.07,"5,975,000"
166,24.11.2022,תל אביב-יפו,נחל עוז 2,שלישית,43,"1,320,000"
167,24.11.2022,תל אביב-יפו,קהילת קנדה 46,שניה,68.10,"2,135,000"
168,24.11.2022,תל אביב-יפו,בן צבי 111,רביעית,87,"3,017,000"
169,24.11.2022,תל אביב-יפו,קבוץ גלויות 77,שניה,64.46,"2,475,000"
170,23.11.2022,תל אביב-יפו,ילין דוד 16,שישית,73,"5,000,000"
171,22.11.2022,תל אביב-יפו,קורצ'אק יאנוש 7,שלישית,80,"6,000,000"
172,22.11.2022,תל אביב-יפו,קיוסו אלברט 14,חמישית,79,"3,410,000"
173,22.11.2022,תל אביב-יפו,ויקטור הוגו 6,שלישית,59.70,"1,444,000"
174,22.11.2022,תל אביב-יפו,רוני 6,ראשונה,71,"2,200,000"
175,22.11.2022,תל אביב-יפו,קהילת פאדובה 8,ראשונה,86,"3,905,000"
176,21.11.2022,תל אביב-יפו,קיוסו אלברט 14,חמישית,79,"3,410,000"
177,21.11.2022,תל אביב-יפו,אלון יגאל 74,שניה,55.27,"3,350,000"
178,20.11.2022,תל אביב-יפו,לילינבלום 41,ראשונה,64,"4,388,000"
179,20.11.2022,תל אביב-יפו,בני אפרים 210,ראשונה,77,"4,100,000"
180,20.11.2022,תל אביב-יפו,בר-לב חיים 183,רביעית,53,"2,240,000"
181,20.11.2022,תל אביב-יפו,"שז""ר זלמן 21",ראשונה,49.40,"2,730,000"
182,18.11.2022,תל אביב-יפו,טאגור רבינדרנארט 31,רביעית,83.60,"4,050,000"
183,18.11.2022,תל אביב-יפו,הלפיד 7,ראשונה,61.40,"2,720,000"
184,17.11.2022,תל אביב-יפו,"שז""ר זלמן 21",רביעית,49.40,"2,390,000"
185,17.11.2022,תל אביב-יפו,מרכז בעלי מלאכה 13,קומה 4,56.90,"2,600,000"
186,17.11.2022,תל אביב-יפו, ,ראשונה,81,"3,300,000"
187,16.11.2022,תל אביב-יפו,וורמיזה 6,חמישית,65,"192,000"
188,16.11.2022,תל אביב-יפו,החשמונאים 1,רביעית,80,"4,573,000"
189,16.11.2022,תל אביב-יפו,בן ציון 26,שניה,90,"6,664,000"
190,15.11.2022,תל אביב-יפו,מרמורק 28,ראשונה,42,"4,000,000"
191,15.11.2022,תל אביב-יפו,גרץ 3,קרקע,74.02,"4,978,000"
192,15.11.2022,תל אביב-יפו,לואי מרשל 21,שישית,71,"5,000,000"
193,15.11.2022,תל אביב-יפו,נרדור 14,רביעית,54,"1,700,000"
194,14.11.2022,תל אביב-יפו, ,רביעית,103,"13,462,850"
195,14.11.2022,תל אביב-יפו,יוחנן הורקנוס 29,מרתף -1,74,"3,200,000"
196,10.11.2022,תל אביב-יפו,הזוהר 14,שניה,63,"3,300,000"
197,10.11.2022,תל אביב-יפו,סרלין יוסף 9,שביעית,61,"2,190,000"
198,10.11.2022,תל אביב-יפו,צייטלין 15,שניה,85,"6,200,000"
199,10.11.2022,תל אביב-יפו,נורדאו 53,שלישית,66,"4,520,000"
200,09.11.2022,תל אביב-יפו,פיקוס 14,שניה,57.50,"2,100,000"
201,09.11.2022,תל אביב-יפו,ששת הימים 8,שישית,62,"2,150,000"
202,09.11.2022,תל אביב-יפו,נוה שאנן 11,רביעית,58,"3,175,000"
203,09.11.2022,תל אביב-יפו,הגבור האלמוני 59,שלישית,60,"1,700,000"
204,09.11.2022,תל אביב-יפו,בצלאל 29,רביעית,42,"5,060,000"
205,08.11.2022,תל אביב-יפו,יפת 199,שישית,98,"3,350,000"
206,08.11.2022,תל אביב-יפו,נוה שאנן 11,רביעית,58,"3,175,000"
207,08.11.2022,תל אביב-יפו,הגבור האלמוני 59, ,60,"1,700,000"
208,07.11.2022,תל אביב-יפו,יהודה הימית 8,קרקע,83,"3,905,000"
209,07.11.2022,תל אביב-יפו,בלוך דוד 10, ,68,"4,770,000"
210,07.11.2022,תל אביב-יפו,יפת 199, ,97,"3,350,000"
211,06.11.2022,תל אביב-יפו,הגדוד העברי 47,ראשונה,50.62,"2,710,000"
212,06.11.2022,תל אביב-יפו, ,שלישית,80,"4,400,000"
213,06.11.2022,תל אביב-יפו,אחד העם 27,שניה,87,"6,592,000"
214,06.11.2022,תל אביב-יפו,בגין 3,רביעית,59,"3,850,000"
215,06.11.2022,תל אביב-יפו, ,עשרים ושתיים,76,"3,750,000"
216,06.11.2022,תל אביב-יפו,בצלאל 29,רביעית,50,"4,745,000"
217,05.11.2022,תל אביב-יפו, ,שלישית,80,"4,100,000"
218,04.11.2022,תל אביב-יפו, ,ראשונה,78,"4,525,000"
219,02.11.2022,תל אביב-יפו,קהילת ורשה 65,שישית,74,"2,900,000"
220,02.11.2022,תל אביב-יפו,סירקין 32,ראשונה,85,"5,485,000"
221,02.11.2022,תל אביב-יפו,עירית 18,שישית,67,"2,444,000"
222,02.11.2022,תל אביב-יפו,אחד העם 114,ראשונה,62,"4,300,000"
223,01.11.2022,תל אביב-יפו,קהילת קנדה 34,שלישית,47,"1,750,000"
224,01.11.2022,תל אביב-יפו,קהילת ורשה 65,שישית,74,"2,900,000"
225,31.10.2022,תל אביב-יפו,עולי ציון 17,רביעית,45.82,"3,600,000"
226,31.10.2022,תל אביב-יפו,אליוט ג'ורג' 3,קומה 1,85,"5,740,000"
227,31.10.2022,תל אביב-יפו,הטייסים 60,שישית,97,"3,000,000"
