,sale_day,city,adress,floor,size,price
134,17.01.2023,חיפה,קרן היסוד 44,קרקע,62.20,"1,125,000"
135,17.01.2023,חיפה,הנטקה 57, ,85,"1,650,000"
136,17.01.2023,חיפה,אנה פרנק 31,ראשונה,80,"1,830,000"
137,16.01.2023,חיפה,חטיבת כרמלי 47,שלישית,55,"420,000"
138,16.01.2023,חיפה,הכרמים 4,ראשונה,38.42,"448,000"
139,16.01.2023,חיפה,משה חיים שפירא 11,שלישית,54.50,"955,000"
140,15.01.2023,חיפה,טרומן 32,רביעית,60.60,"1,470,000"
141,15.01.2023,חיפה,הגליל 11,שניה,62,"1,265,000"
142,15.01.2023,חיפה,סטרומה 8,ראשונה,42.35,"1,100,000"
143,15.01.2023,חיפה,צייטלין אהרון 63,ראשונה,61,"900,000"
144,15.01.2023,חיפה,דוד המלך 20,ראשונה,67.50,"700,000"
145,14.01.2023,חיפה,מרסיי 9, ,74,"1,315,000"
146,13.01.2023,חיפה,כורי 20,שלישית,78,"1,100,000"
147,12.01.2023,חיפה,סילבר אבא הלל 111,שלישית,70.20,"1,141,000"
148,12.01.2023,חיפה,יציאת אירופה 9,שניה,51,"1,190,000"
149,12.01.2023,חיפה,האתרוג 9,ראשונה,45.56,"1,500,000"
150,12.01.2023,חיפה,פרויד 30,קרקע,61.76,"1,025,000"
151,12.01.2023,חיפה,רזיאל דוד 44,שלישית,60.35,"820,000"
152,11.01.2023,חיפה,בית לחם 38,ראשונה,59.50,"1,200,000"
153,11.01.2023,חיפה,אדמונד פלג 36,ראשונה,52.34,"1,640,000"
154,11.01.2023,חיפה,בלום לאון 66,שישית,81.76,"1,363,000"
155,11.01.2023,חיפה,דגניה 49,שניה,52.72,"850,000"
156,11.01.2023,חיפה,שבטי ישראל 32,ראשונה,49.50,"690,000"
157,11.01.2023,חיפה,אלחנן יצחק 9,ראשונה,68.20,"1,600,000"
158,11.01.2023,חיפה,ששת הימים 17,שניה,82,"1,600,000"
159,10.01.2023,חיפה, ,אחת עשרה,67,"1,050,000"
160,10.01.2023,חיפה,יד לבנים 189,קרקע,36.50,"500,000"
161,10.01.2023,חיפה,פינסקר 23,שניה,57.50,"1,260,000"
162,10.01.2023,חיפה,עובדיה 19,שניה,62.30,"1,245,000"
163,10.01.2023,חיפה,חניתה 54,רביעית,70.72,"1,080,000"
164,10.01.2023,חיפה,קיש 15,ראשונה,72.11,"1,470,000"
165,09.01.2023,חיפה,אורן 31,שניה,59.25,"1,140,000"
166,09.01.2023,חיפה,הראשונים 16,קרקע,45.36,"1,810,000"
167,09.01.2023,חיפה,שדה בוקר 27,רביעית,61.64,"414,000"
168,08.01.2023,חיפה,יערות 22,שניה,70,"2,860,000"
169,08.01.2023,חיפה,בית לחם 29,שלישית,59.50,"575,000"
170,08.01.2023,חיפה,גאולה 33,שניה,64.77,"1,200,000"
171,08.01.2023,חיפה,יואב 38,שמינית,75,"620,000"
172,08.01.2023,חיפה,יד לבנים 189,קרקע,78.40,"1,000,000"
173,08.01.2023,חיפה,התורן 26,שלישית,61.24,"1,500,000"
174,06.01.2023,חיפה, ,ראשונה,38,"530,000"
175,05.01.2023,חיפה,צייטלין אהרון 33,שלישית,61,"835,000"
176,05.01.2023,חיפה,אינשטיין אלברט 77,"עמודים , שניה",79.50,"1,500,000"
177,05.01.2023,חיפה,גדליהו 33,חמישית,70.40,"1,330,000"
