,sale_day,city,adress,floor,size,price
217,27.10.2022,אשדוד,יהודה המכבי 4,שניה,58.6,"1,540,000"
218,27.10.2022,אשדוד,הדקל 9,עשרים וארבע,84,"2,280,000"
219,27.10.2022,אשדוד,מבצע חורב 2,שלישית,60.2,"1,500,000"
220,26.10.2022,אשדוד,וולפסון דוד 2,קרקע,54.6,"1,840,000"
221,26.10.2022,אשדוד,הגומא 8,שלישית,84,"1,470,000"
222,26.10.2022,אשדוד,חטיבת גולני 3, ,56,"1,440,000"
223,26.10.2022,אשדוד,הדקל 9,עשרים וארבע,84,"2,280,000"
224,25.10.2022,אשדוד,הרב אבן דנן 10,רביעית,61,"1,800,000"
225,25.10.2022,אשדוד,גיא אוני 2,שלישית,97,"1,560,000"
226,24.10.2022,אשדוד,מיכשוילי 16,שישית,62,"1,500,000"
227,23.10.2022,אשדוד,ז'בוטינסקי 12,קומה 0,66,"1,400,000"
228,23.10.2022,אשדוד,שומרון 3,שמינית,65,"891,000"
229,23.10.2022,אשדוד,הרב קוק 31,שניה,50.5,"1,760,000"
230,23.10.2022,אשדוד,הדקל 9,עשרים ושתיים,84,"2,290,000"
231,23.10.2022,אשדוד,ז'בוטינסקי 14,ראשונה,78,"1,520,000"
232,22.10.2022,אשדוד,הדקל 9,עשרים ושתיים,84,"2,290,000"
233,21.10.2022,אשדוד,קרן היסוד 27,רביעית,80.5,"1,333,000"
234,19.10.2022,אשדוד,המעפילים 58,שלישית,50.55,"1,630,000"
235,18.10.2022,אשדוד,הציונות 125,קרקע,82.97,"1,900,000"
236,18.10.2022,אשדוד, ,שישית,64,"1,060,000"
237,14.10.2022,אשדוד,אחד העם 2,רביעית,62.88,"1,263,000"
238,13.10.2022,אשדוד,הנביא נחום 7,ראשונה,66.3,"1,600,000"
239,07.10.2022,אשדוד,גבעת עדה 1,שמינית,85,"1,600,000"
240,06.10.2022,אשדוד,הרימון 2,שמינית,84.8,"2,175,000"
241,06.10.2022,אשדוד,הנרקיס 11,ראשונה,62.8,"763,000"
242,06.10.2022,אשדוד,הציונות 129,שביעית,94.21,"2,160,000"
243,06.10.2022,אשדוד,יהודה המכבי 4,ראשונה,58.6,"1,580,000"
244,06.10.2022,אשדוד,"רש""י 6",שלישית,75.1,"1,610,000"
245,06.10.2022,אשדוד,נורדאו 20,חמישית,105,"2,150,000"
246,06.10.2022,אשדוד,הנורית 6,רביעית,60.8,"1,700,000"
247,03.10.2022,אשדוד,"הפלמ""ח 19",ראשונה,52,"1,510,000"
248,03.10.2022,אשדוד,הבעל שם טוב 4,ראשונה,60.2,"1,700,000"
249,03.10.2022,אשדוד,העירית 14,שביעית,64,"1,630,000"
250,02.10.2022,אשדוד,קרן היסוד 21,ראשונה,59.8,"351,000"
251,02.10.2022,אשדוד,שפירא אברהם 5,שביעית,65,"1,280,000"
252,02.10.2022,אשדוד,הרב קוק 19,רביעית,54.7,"1,330,000"
253,29.09.2022,אשדוד,גור דב 11,רביעית,80.7,"1,540,000"
254,29.09.2022,אשדוד,קבוץ גלויות 6,ראשונה,66.83,"1,330,000"
255,29.09.2022,אשדוד,הרב שאולי 27,ראשונה,61,"1,339,000"
256,28.09.2022,אשדוד,סיגל 2,שניה,61.5,"1,540,000"
257,28.09.2022,אשדוד,אבן גבירול 15,שלישית,54,"527,000"
258,28.09.2022,אשדוד,הרב קוק 31,רביעית,50.5,"1,585,000"
259,27.09.2022,אשדוד,הרב קוק 31,רביעית,75,"1,585,000"
260,25.09.2022,אשדוד,אחד העם 2,שלישית,62.88,"1,370,000"
261,23.09.2022,אשדוד,המעפילים 11,ראשונה,54,"1,541,000"
262,22.09.2022,אשדוד,בן יוסף שלמה 6,שלישית,65.2,"1,750,000"
263,22.09.2022,אשדוד,ז'בוטינסקי 14,שישית,78,"1,500,000"
264,22.09.2022,אשדוד, ,שתים עשרה,47,"1,680,000"
265,22.09.2022,אשדוד,הגומא 12,ראשונה,61.1,"1,625,000"
266,22.09.2022,אשדוד,הרב אבן דנן 8,שלישית,61,"1,535,000"
267,21.09.2022,אשדוד,ציזלינג 4,רביעית,49,"1,900,000"
268,21.09.2022,אשדוד,גור דב 20,רביעית,58.9,"1,770,000"
269,21.09.2022,אשדוד,חסן ובן גרה 2,שלישית,56.7,"1,410,000"
270,21.09.2022,אשדוד,גבעת עדה 1,עשירית,60,"1,370,000"
271,21.09.2022,אשדוד,גאפונוב 1,שלישית,64.6,"543,333"
272,19.09.2022,אשדוד,יהודה המכבי 7,שלישית,67.1,"1,750,000"
273,19.09.2022,אשדוד,הדקל 5,שישית,86,"2,450,000"
274,19.09.2022,אשדוד,הדודאים 3,שישית,79,"1,600,000"
275,18.09.2022,אשדוד,מצדה 101,רביעית,65,"1,720,000"
276,18.09.2022,אשדוד,הדקל 5,שישית,86,"2,450,000"
277,18.09.2022,אשדוד,שבי ציון 23,שלישית,74.6,"1,520,000"
278,18.09.2022,אשדוד,הגומא 12,שלישית,61.1,"630,000"
279,16.09.2022,אשדוד, ,שישית,75,"1,670,000"
280,15.09.2022,אשדוד,סיני 6,שניה,40.7,"1,300,000"
281,15.09.2022,אשדוד,יאיר 10,שלישית,62.5,"1,333,000"
282,15.09.2022,אשדוד, ,שביעית,76,"1,670,000"
283,15.09.2022,אשדוד,קרן היסוד 37,רביעית,59.8,"1,450,000"
284,15.09.2022,אשדוד,פתח תקווה 9,שמינית,84,"1,550,000"
285,15.09.2022,אשדוד,חטיבת הנגב 14,שניה,52,"362,000"
286,14.09.2022,אשדוד,הדקל 5,תשיעית,90,"2,170,000"
287,14.09.2022,אשדוד,קבוץ גלויות 6,חמישית,74,"1,290,000"
288,14.09.2022,אשדוד,ההסתדרות 7,שניה,54.3,"1,300,000"
289,14.09.2022,אשדוד,בגין מנחם 1, ,101,"1,840,000"
