,sale_day,city,adress,floor,size,price
157,20.10.2022,ראשון לציון,קרית ספר 21,ראשונה,63.34,"1,800,000"
158,13.10.2022,ראשון לציון,בוגלה יונה 13,שניה,65,"2,100,000"
159,12.10.2022,ראשון לציון,יהודה הלוי 11,ראשונה,55.18,"1,600,000"
160,07.10.2022,ראשון לציון,ברניצקי נתן 17,שניה,62.67,"1,760,000"
161,06.10.2022,ראשון לציון,קרון אהרון 24,שלישית,58,"2,135,000"
162,06.10.2022,ראשון לציון,סמילנסקי 10,ראשונה,61.32,"558,333"
163,02.10.2022,ראשון לציון,הנגיד 9,ראשונה,63,"2,320,000"
164,02.10.2022,ראשון לציון,האחים סולימן 14,שניה,69.10,"739,999"
165,29.09.2022,ראשון לציון,ז'בוטינסקי 62,שניה,60.77,"1,827,000"
166,29.09.2022,ראשון לציון,לנדאו חיים 4,ראשונה,75.40,"2,550,000"
167,28.09.2022,ראשון לציון,אבן גבירול 8,שניה,66.14,"1,800,000"
168,28.09.2022,ראשון לציון,אלירז שלמה 9,שמינית,86,"2,050,000"
169,23.09.2022,ראשון לציון,שוחט מניה 10,רביעית,65.24,"1,920,000"
170,21.09.2022,ראשון לציון,"עגנון ש""י 15",ראשונה,42,"2,350,000"
171,21.09.2022,ראשון לציון,הצופים 8,שישית,84.26,"2,475,000"
172,21.09.2022,ראשון לציון,החליל 5,שניה,67.49,"2,300,000"
173,21.09.2022,ראשון לציון,שניאור זלמן 37,שלישית,46.20,"1,855,000"
174,21.09.2022,ראשון לציון,מרגולין 11,שלישית,85.50,"1,740,000"
175,21.09.2022,ראשון לציון,הורוביץ 10,ראשונה,64.89,"2,100,000"
176,21.09.2022,ראשון לציון,האורגן 6,רביעית,62.80,"2,400,000"
177,21.09.2022,ראשון לציון,שוחט מניה 4,רביעית,62,"581,000"
178,21.09.2022,ראשון לציון,ברניצקי נתן 35,שלישית,69,"1,700,000"
179,21.09.2022,ראשון לציון,מורדי הגטאות 33,שלישית,56.50,"372,000"
180,21.09.2022,ראשון לציון,האחים סמילצ'נסקי 3,שניה,72,"1,960,000"
181,20.09.2022,ראשון לציון,ברנדיס 8,רביעית,95,"2,050,000"
