,sale_day,city,adress,floor,size,price
200,05.01.2023,באר שבע,קלישר 15,ראשונה,64,"825,000"
201,05.01.2023,באר שבע,גורדון א ד 3,רביעית,59,"920,000"
202,05.01.2023,באר שבע,בורלא יהודה 57,שניה,63.20,"690,000"
203,05.01.2023,באר שבע,"החיד""א 47",ראשונה,61.40,"196,000"
204,04.01.2023,באר שבע,קדש 28,שניה,57.80,"855,000"
205,04.01.2023,באר שבע,כחול לבן 2,שניה,62.40,"730,000"
206,04.01.2023,באר שבע,סנהדרין 156,שלישית,61.10,"492,000"
207,04.01.2023,באר שבע,"חי""ל 4",רביעית,62.70,"580,000"
208,04.01.2023,באר שבע,התלמוד 44,ראשונה,53.70,"460,000"
209,04.01.2023,באר שבע,מרווה 1,שניה,80,"797,000"
210,04.01.2023,באר שבע,סנהדרין 138,שלישית,45.90,"392,000"
211,04.01.2023,באר שבע,סנהדרין 46,שלישית,42.80,"760,000"
212,03.01.2023,באר שבע,שרת משה 40,ראשונה,65.90,"750,000"
213,03.01.2023,באר שבע,אברהם אבינו 3,ראשונה,55.35,"850,000"
214,02.01.2023,באר שבע,מאפו אברהם 21,שלישית,78.50,"1,050,000"
215,02.01.2023,באר שבע,יהודי סוריה 4,רביעית,64.50,"690,000"
216,02.01.2023,באר שבע,וינגייט 68,ראשונה,62,"960,000"
217,02.01.2023,באר שבע,אבשלום 44,שניה,61.50,"850,000"
218,02.01.2023,באר שבע,יוסף בן מתתיהו 56,רביעית,51.50,"805,000"
219,02.01.2023,באר שבע,טבנקין 32,ראשונה,54.20,"720,000"
220,01.01.2023,באר שבע,סנהדרין 110,שלישית,45.90,"500,000"
221,01.01.2023,באר שבע,ייבין יהושע 11,ראשונה,71.20,"1,100,000"
222,01.01.2023,באר שבע,התלמוד 58,קרקע,53.70,"800,000"
223,01.01.2023,באר שבע,קפלן 2,חמישית,54.92,"830,000"
224,01.01.2023,באר שבע,מבצע עובדה 20,ראשונה,61.50,"770,000"
225,01.01.2023,באר שבע,מצדה 260,חמישית,64.50,"750,000"
226,30.12.2022,באר שבע,פיארברג 14,רביעית,67,"1,070,000"
227,30.12.2022,באר שבע,פיארברג 39,תשיעית,55.70,"925,000"
228,30.12.2022,באר שבע,שרעבי 17,ראשונה,64,"690,000"
229,30.12.2022,באר שבע,אלכסנדר ינאי 21,שניה,43.60,"840,000"
230,30.12.2022,באר שבע,לימונית 4,רביעית,106,"1,340,000"
231,29.12.2022,באר שבע,הבשור 21,ראשונה,63.50,"850,000"
232,29.12.2022,באר שבע,השלום 22,קרקע,44,"650,000"
233,29.12.2022,באר שבע,השלום 22,שניה,73.30,"825,000"
234,29.12.2022,באר שבע,רובין ראובן 5,קומה 6,82.88,"1,550,000"
235,28.12.2022,באר שבע,דוד המלך 31,רביעית,38.80,"580,000"
236,28.12.2022,באר שבע,הבשור 9,ראשונה,63.50,"940,000"
237,28.12.2022,באר שבע,סנהדרין 92,שלישית,45.90,"520,000"
238,28.12.2022,באר שבע,אברהם אבינו 18,שניה,65.50,"750,000"
239,28.12.2022,באר שבע,רוטנברג 8,שלישית,46.40,"136,000"
240,28.12.2022,באר שבע,בני אור 13,שניה,66.90,"725,000"
241,28.12.2022,באר שבע,יהודי סוריה 12,שניה,62.40,"720,000"
242,28.12.2022,באר שבע,שער הגיא 7,שישית,61.50,"815,000"
243,28.12.2022,באר שבע,לימונית 4,שלישית,81,"1,340,000"
244,27.12.2022,באר שבע,בני אור 60,רביעית,66.80,"730,000"
245,27.12.2022,באר שבע,אלכסנדר ינאי 23,שניה,43.60,"680,000"
246,27.12.2022,באר שבע,יהודי סוריה 12,שניה,62.40,"740,000"
247,27.12.2022,באר שבע,ברש אשר 3,ראשונה,61.50,"850,000"
248,27.12.2022,באר שבע,סנהדרין 136,ראשונה,53,"590,000"
249,27.12.2022,באר שבע,השלום 56,אחת עשרה,62,"700,000"
250,26.12.2022,באר שבע,בית אל 29,שלישית,60,"695,000"
251,26.12.2022,באר שבע,מבצע משה 1,ראשונה,67.70,"840,000"
252,26.12.2022,באר שבע,ביאליק 123,שלישית,52.15,"780,000"
253,26.12.2022,באר שבע,ניב דוד 7,חמישית,71.70,"1,270,000"
254,26.12.2022,באר שבע,יותם 6,שלישית,63.10,"725,000"
255,25.12.2022,באר שבע,גור יהודה 3,שניה,74,"1,220,000"
256,25.12.2022,באר שבע,מצדה 144,רביעית,66,"920,000"
257,25.12.2022,באר שבע,סנהדרין 33,ראשונה,42.70,"630,000"
258,25.12.2022,באר שבע,חזני מיכאל 20,ראשונה,68.50,"800,000"
259,25.12.2022,באר שבע,מבצע נחשון 2,שלישית,82,"545,000"
