,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
49,49,92,92,92,92,92,92,850000.0,הלל,22,0,70,2,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,2,0,0,0,444143.0,459285.0,578437.0,596767.0,587500.0,693888.0,681000.0,565000.0,711405.0,951250.0,742333.0,797750.0,780875.0,1207500
50,50,93,93,93,93,93,93,969833.0,הלל 48,22,1,65,2,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,1,0,0,0,416873.0,483670.0,510114.0,540000.0,571635.0,630023.0,757027.0,708875.0,754862.0,731923.0,889363.0,939029.0,1064058.0,1248516
51,51,95,95,95,95,95,95,1230000.0,המגינים,18,3,80,0,7,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,0,0,475000.0,460000.0,580049.0,597132.0,641833.0,708851.0,767500.0,650827.0,900318.0,950000.0,1154349.0,659666.0,889966.0,1044245
52,52,96,96,96,96,96,96,1290000.0,המגינים,4,8,70,0,9,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,0,0,0,475000.0,460000.0,580049.0,597132.0,641833.0,708851.0,767500.0,650827.0,900318.0,950000.0,1154349.0,659666.0,889966.0,1044245
53,53,97,97,97,97,97,97,1249000.0,המגינים,4,9,70,0,9,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,0,0,475000.0,460000.0,580049.0,597132.0,641833.0,708851.0,767500.0,650827.0,900318.0,950000.0,1154349.0,659666.0,889966.0,1044245
54,54,98,98,98,98,98,98,1250000.0,המגינים,4,2,75,0,4,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,475000.0,460000.0,580049.0,597132.0,641833.0,708851.0,767500.0,650827.0,900318.0,950000.0,1154349.0,659666.0,889966.0,1044245
55,55,101,101,101,101,101,101,1270000.0,המלכה אסתר,23,1,75,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,274370.0,318333.0,400000.0,550000.0,520000.0,590000.0,710000.0,664839.0,707969.0,686455.0,834114.0,944166.0,928400.0,1089341
56,56,102,102,102,102,102,102,1280000.0,המלכה אסתר 4,23,4,54,0,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,2,1,0,0,452050.0,524483.0,553158.0,585565.0,645377.0,775477.0,726153.0,773262.0,749765.0,911044.0,961922.0,1090000.0,580000.0,680545
57,57,103,103,103,103,103,103,1270000.0,המעפילים,15,2,60,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,425000.0,469188.0,424000.0,447181.0,586666.0,600000.0,673000.0,630193.0,670000.0,680000.0,857500.0,747777.0,762700.0,894917
58,58,107,107,107,107,107,107,1200000.0,הנביאים,8,2,75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,373320.0,449494.0,521516.0,550028.0,582251.0,641723.0,771085.0,740000.0,788006.0,764060.0,928412.0,478333.0,542021.0,580000
