,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
25,25,"2,290,000 ₪",בורוכוב,"דירה, קרית היובל, ירושלים", '3', '66', 'none', 'קומות בבנין\n4', 'חניות\nללא',1,0,0,1,0,0,0,0,1,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה גמישה',0,0,0,1223333,1075000,1362114,1179951,"1,045,000","1,400,000",none,"2,350,000",1412500,1853333,2183333,1940000,1850000,none
26,26,"2,000,000 ₪",בושם 8,"דירה, גילה, ירושלים", '3', '65', 'מרפסות\n1', 'קומות בבנין\n4', 'חניות\nללא',1,0,0,1,0,0,0,1,0,0, 'מצב הנכס\nדרוש שיפוץ', 'תאריך כניסה\n02/07/2023',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,27,"2,600,000 ₪",בזל 9,"דירה, קרית משה, ירושלים", '3',60.0, 'מרפסות\n1', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,1,0,0,1,0,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,none,none,none,none,none,none,none,none,none,1800000,none,none
28,28,"3,590,000 ₪",בילו,"דירה, קטמון הישנה, ירושלים", 'קרקע', '65', 'none', 'קומות בבנין\n3', 'חניות\n1',1,0,0,1,0,0,0,1,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\n31/08/2023',0,0,0,"1,500,000",2020568,none,none,1565000,none,none,none,none,none,none,none,3465000,none
29,29,"1,720,000 ₪",בן אריה אליעזר,"דירה, גילה, ירושלים", 'קרקע', '60', 'none', 'קומות בבנין\n4', 'חניות\nללא',1,0,0,1,0,0,0,1,0,1, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה מיידית',0,0,0,973000,969000,"820,000",926500,"703,000",1350000,1270000,1315000,none,"1,565,000",none,1150000,1845000,none
30,30,"2,850,000 ₪",בצלאל,"דירה, נחלאות, שערי חסד, ירושלים", '1', '70', 'מרפסות\n1', 'קומות בבנין\n4', 'חניות\nללא',0,0,0,1,0,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה מיידית',0,1,0,1280393,"1,450,000",none,1653750,1270000,none,none,"1,695,000",none,"2,100,000",none,2600000,2462250,none
31,31,"3,000,000 ₪",בצלאל 3,"דירה, מרכז העיר, ירושלים", '1', '70', 'מרפסות\n1', 'קומות בבנין\n2', 'חניות\nללא',0,0,0,1,0,0,0,0,0,1, 'מצב הנכס\nדרוש שיפוץ', 'תאריך כניסה\nכניסה מיידית',0,0,0,1280393,"1,450,000",none,1653750,1270000,none,none,"1,695,000",none,"2,100,000",none,2600000,2462250,none
32,32,"2,400,000 ₪",בקעה,"דירה, בקעה, ירושלים", '5', '60', 'none', 'קומות בבנין\n6', 'חניות\nללא',0,0,0,0,0,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
33,33,"3,500,000 ₪",ברוריה,"דירה, קטמון הישנה, ירושלים", '1', '110', 'none', 'קומות בבנין\n4', 'חניות\n3',0,1,0,0,0,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה מיידית',0,0,0,"1,120,000",none,"1,325,000",1406250,1532500,"3,100,000",2024500,"2,158,638",none,"1,940,000",none,none,3800000,none
34,34,"2,400,000 ₪",ברזיל,"דירה, קרית היובל, ירושלים", 'קרקע', '56', 'none', 'קומות בבנין\n6', 'חניות\nללא',1,0,0,1,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
35,35,"2,400,000 ₪",ברזיל 101,"דירה, קרית היובל, ירושלים", '-2', '60', 'none', 'קומות בבנין\n8', 'חניות\nללא',1,1,0,1,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
36,36,"2,220,000 ₪",ברזיל 28,"דירה, קרית היובל, ירושלים", '1', '60', 'none', 'קומות בבנין\n7', 'חניות\nללא',1,1,0,1,0,0,1,0,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
37,37,"8,950,000 ₪",ברנר,"דירה, טלביה, קוממיות, ירושלים", '3', '129', 'מרפסות\n2', 'קומות בבנין\n5', 'חניות\n1',1,0,1,0,0,0,1,1,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,"666,666",none,"2,436,165","2,550,000",none,none,"2,445,000",none,none,none,none,none,none,none
38,38,"2,290,000 ₪",בתירא בני,"דירה, קטמונים, ירושלים", '2', '60', 'none', 'קומות בבנין\n4', 'חניות\nללא',0,1,0,1,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה גמישה',0,0,0,1240000,1593333,1615000,none,none,none,"2,160,000","1,920,000",none,none,"2,100,000",1841666,none,none
39,39,"1,660,000 ₪",גאולה,"דירה, גאולה, ירושלים", '1', '55', 'none', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,1,1,0,1,0,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה מיידית',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
40,40,"3,950,000 ₪",גבירול אבן 10,"דירה, רחביה, ירושלים", '3', '75', 'מרפסות\n2', 'קומות בבנין\n4', 'חניות\nללא',0,0,0,0,0,0,1,0,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\n01/10/2023',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
41,41,"2,000,000 ₪",גילה,"דירה, גילה, ירושלים", '1', '80', 'none', 'קומות בבנין\n3', 'חניות\n1',0,0,0,0,0,0,0,0,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
42,42,"1,890,000 ₪",גילה,"דירה, גילה, ירושלים", '1', '70', 'מרפסות\n1', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,1,0,0,0,0,1,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
43,43,"2,050,000 ₪",גילה,"דירה, גילה, ירושלים", 'קרקע', '76', 'none', 'קומות בבנין\n5', 'חניות\nללא',1,1,0,1,1,0,0,0,1,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה מיידית',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
44,44,"1,850,000 ₪",גילה,"דירה, גילה, ירושלים", '1', '75', 'none', 'קומות בבנין\n4', 'חניות\nללא',1,1,0,1,0,0,1,0,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
45,45,"1,880,000 ₪",גילה,"דירה, גילה, ירושלים", '3', '62', 'none', 'קומות בבנין\n4', 'חניות\nללא',1,1,1,1,1,1,1,1,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
46,46,"1,840,000 ₪",גילה,"דירה, גילה, ירושלים", '2', '80', 'מרפסות\n1', 'קומות בבנין\n4', 'חניות\nללא',1,1,0,1,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,1,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
47,47,"2,150,000 ₪",גילה,"דירה, גילה, ירושלים", '3', '80', 'מרפסות\n1', 'קומות בבנין\n5', 'חניות\n1',1,1,1,1,1,1,1,1,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
48,48,"1,690,000 ₪",גילה,"דירה, גילה, ירושלים", '4', '60', 'none', 'קומות בבנין\n4', 'חניות\nללא',1,1,0,1,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
49,49,"1,860,000 ₪",גילה,"דירה, גילה, ירושלים", '4', '65', 'מרפסות\n1', 'קומות בבנין\n4', 'חניות\nללא',1,0,0,0,0,0,1,0,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',1,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
50,50,"1,930,000 ₪",גילה,"דירה, גילה, ירושלים", '1', '70', 'מרפסות\n1', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,1,0,0,1,1,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,1,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
51,51,"1,770,000 ₪",גילה,"דירה, גילה, ירושלים", '2', '60', 'none', 'קומות בבנין\n4', 'חניות\nללא',1,1,0,1,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
52,52,"1,730,000 ₪",גילה,"דירה, גילה, ירושלים", '3', '70', 'none', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,1,0,0,1,0,1,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
53,53,"1,780,000 ₪",גילה,"דירה, גילה, ירושלים", '1', '72', 'מרפסות\n1', 'קומות בבנין\n4', 'חניות\nללא',1,1,0,1,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,1,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
54,54,"2,020,000 ₪",גילה,"דירה, גילה, ירושלים", '2', '70', 'none', 'קומות בבנין\n4', 'חניות\nללא',1,0,0,1,0,0,0,0,1,1, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה מיידית',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
55,55,"2,410,898 ₪",גילה,"דירה, גילה, ירושלים", '3', '73', 'מרפסות\n1', 'קומות בבנין\n7', 'חניות\nללא',0,0,0,0,0,0,0,0,0,0, 'מצב הנכס\nחדש מקבלן', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
56,56,"1,680,000 ₪",גילה,"דירה, גילה, ירושלים", '3', '60', 'מרפסות\n1', 'קומות בבנין\n4', 'חניות\nללא',1,1,0,1,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
57,57,"2,150,000 ₪",גילה,"דירה, גילה, ירושלים", '1', '70', 'מרפסות\n1', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,1,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,1,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
58,58,"2,050,000 ₪",גילה,"דירה, גילה, ירושלים", '2', '64', 'none', 'קומות בבנין\n4', 'חניות\nללא',0,0,0,0,0,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
59,59,"1,920,000 ₪",גילה,"דירה, גילה, ירושלים", '1', '57', 'מרפסות\n1', 'קומות בבנין\n3', 'חניות\nללא',0,0,0,0,0,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nלא צוין תאריך כניסה',1,1,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
60,60,"2,120,000 ₪",גילה,"דירה, גילה, ירושלים", '2', '95', 'מרפסות\n1', 'קומות בבנין\n6', 'חניות\n1',1,1,1,1,1,1,1,1,1,1, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
61,61,"1,900,000 ₪",גילה,"דירה, גילה, ירושלים", '4', '70', 'מרפסות\n1', 'קומות בבנין\n4', 'חניות\nללא',0,0,0,1,0,0,0,0,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',1,1,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
62,62,"2,150,000 ₪",גילה,"דירה, גילה, ירושלים", '1', '75', 'מרפסות\n1', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,1,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',1,1,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
63,63,"1,750,000 ₪",גילה,"דירה, גילה, ירושלים", '3', '70', 'none', 'קומות בבנין\n4', 'חניות\n1',1,1,0,0,0,0,1,0,1,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה מיידית',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
64,64,"1,840,000 ₪",גילה,"דירה, גילה, ירושלים", '4', '95', 'מרפסות\n1', 'קומות בבנין\n4', 'חניות\nללא',1,1,0,1,0,0,1,0,1,1, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה מיידית',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
65,65,"2,350,000 ₪",גילה,"דירה, גילה, ירושלים", '1', '75', 'מרפסות\n1', 'קומות בבנין\n4', 'חניות\nללא',0,0,0,0,0,0,0,1,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nלא צוין תאריך כניסה',1,1,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
66,66,"1,890,000 ₪",גילה,"דירה, גילה, ירושלים", '4', '62', 'none', 'קומות בבנין\n4', 'חניות\nללא',1,0,0,1,0,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה מיידית',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
67,67,"1,800,000 ₪",גילה,"דירה, גילה, ירושלים", '4', '75', 'none', 'קומות בבנין\n4', 'חניות\nללא',1,1,0,1,0,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
68,68,"1,750,000 ₪",גילה,"דירה, גילה, ירושלים", '3', '68', 'מרפסות\n1', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,1,0,0,0,0,1,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nלא צוין תאריך כניסה',1,1,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
69,69,"2,390,000 ₪",גילה,"דירה, גילה, ירושלים", '1', '75', 'מרפסות\n1', 'קומות בבנין\n4', 'חניות\n1',1,1,1,1,1,1,1,1,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,0,none,none,975000,none,none,"1,230,000","1,590,000",1589295,"1,658,850",none,1360000,none,none,none
70,70,"2,550,000 ₪",גלבר,"דירה, רמת דניה, ירושלים", '5', '83', 'מרפסות\n1', 'קומות בבנין\n7', 'חניות\nללא',0,0,1,0,1,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
71,71,"3,500,000 ₪",גלבר,, '3', '91', 'מרפסות\n1', 'קומות בבנין\n7', 'חניות\n1',1,0,1,0,1,1,1,1,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
72,72,"3,500,000 ₪",גלבר,"דירה, רמת דניה, ירושלים", '3', '91', 'מרפסות\n1', 'קומות בבנין\n7', 'חניות\n1',1,0,1,0,1,1,1,1,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
