,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
60,ירושלים,אגריפס 105,3,80.0,2.0,1940,none,none,none,none,none,none,none,none,none,none,none,none,none,none
61,ירושלים,אגריפס 11,3,54.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
62,ירושלים,אגריפס 12,3,75.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
63,ירושלים,אגריפס 14,3,94.0,2.0,2015,none,none,none,"2,230,000",none,none,none,none,none,none,none,none,none,none
64,ירושלים,אגריפס 40,3,59.0,10.0,2005,"1,625,000",none,"1,960,000",1625000,none,"2,000,000",none,"2,480,000",none,none,none,none,none,none
65,ירושלים,אגריפס 62,3,65.0,2.0,1935,none,none,none,none,none,none,none,none,none,none,none,none,none,none
66,ירושלים,אגריפס 69,3,63.0,2.0,2014,none,none,none,none,none,none,none,none,none,none,none,none,none,none
67,ירושלים,אגריפס 70,3,50.0,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
68,ירושלים,אגריפס 72,3,59.0,3.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
69,ירושלים,אגריפס 73,3,42.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
70,ירושלים,אגריפס 88,3,104.0,3.0,2011,none,none,"2,750,000","2,700,000",none,"1,600,000",none,none,none,none,none,none,none,none
71,ירושלים,אדהאן 22,3,103.0,1.0,1980,none,1415880,none,none,none,none,none,none,none,none,none,none,none,none
72,ירושלים,אדם,3,63.0,,1980,926250,1038805,"1,070,000",1042500,1250000,"1,140,000",1190220,"1,240,000",none,none,"1,410,000",none,none,none
73,ירושלים,אדם 1,3,60.0,1.0,2002,"980,000",none,"880,000",none,none,none,none,none,none,none,none,none,none,none
74,ירושלים,אדם 11,3,70.0,,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
75,ירושלים,אדם 12,3,70.0,2.0,1989,none,none,none,none,none,none,none,none,none,none,none,none,none,none
76,ירושלים,אדם 14,3,63.0,5.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
77,ירושלים,אדם 15,3,55.0,4.0,1984,none,none,none,none,none,none,none,none,none,none,none,none,none,none
78,ירושלים,אדם 16,3,64.0,3.0,1984,none,"1,000,000",none,none,none,none,none,none,none,none,none,none,none,none
79,ירושלים,אדם 17,3,65.0,3.0,1983,none,none,none,none,none,"1,200,000",none,none,none,none,none,none,none,none
80,ירושלים,אדם 19,3,65.0,6.0,1983,none,none,none,none,none,none,none,none,none,none,none,none,none,none
81,ירושלים,אדם 21,3,63.0,,2000,"970,000",none,none,none,none,none,none,none,none,none,none,none,none,none
82,ירושלים,אדם 24,3,61.0,3.0,1984,none,none,none,none,none,none,none,none,none,none,none,none,none,none
83,ירושלים,אדם 3,3,63.0,2.0,1982,none,none,none,none,none,none,none,none,none,none,none,none,none,none
84,ירושלים,אדם 35,3,78.0,,1994,none,none,none,none,"1,170,000",none,"1,250,000",none,none,none,none,none,none,none
85,ירושלים,אדם 37,3,63.0,6.0,1986,none,none,none,none,"1,000,000",none,none,"1,200,000",none,none,none,none,none,none
86,ירושלים,אדם 39,3,63.0,1.0,1987,none,none,none,none,none,none,none,none,none,none,none,none,none,none
87,ירושלים,אדם 41,3,63.0,6.0,2001,"860,000",none,none,none,1142500,none,none,none,none,none,none,none,none,none
88,ירושלים,אדם 45,3,63.0,4.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
89,ירושלים,אדם 47,3,63.0,4.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
90,ירושלים,אדם 49,3,58.0,4.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
91,ירושלים,אדם 5,3,63.0,,1983,none,none,none,none,none,none,none,"1,373,000",none,none,none,none,none,none
92,ירושלים,אדם 51,3,63.0,5.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
93,ירושלים,אדם 6,3,65.0,3.0,1980,"1,050,000",none,none,none,none,none,none,none,none,none,none,none,none,none
94,ירושלים,אדם 7,3,65.0,6.0,1980,none,none,none,none,none,none,"1,295,000",none,none,none,none,none,none,none
95,ירושלים,אדם 9,3,65.0,5.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
96,ירושלים,אדמון 7,3,70.0,,1970,"1,250,000",none,none,none,"1,490,000",none,none,none,none,none,none,none,none,none
97,ירושלים,אהליאב 1,3,70.0,,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
98,ירושלים,אהליאב 13,3,60.0,,1960,none,none,none,none,"1,947,500",none,none,none,none,none,none,none,none,none
99,ירושלים,אהליאב 15,3,70.0,6.0,2014,none,none,none,none,2175000,2051464,"2,506,400",2310750,2013013,2115500,none,none,none,none
100,ירושלים,אהליאב 17,3,76.0,6.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
101,ירושלים,אהליאב 2,3,80.0,5.0,2016,none,none,none,none,none,none,none,none,none,none,none,none,none,none
102,ירושלים,אהליאב 22,3,98.0,6.0,2018,none,none,none,none,none,"1,784,000",none,none,none,2005000,none,none,none,none
103,ירושלים,אהליאב 254,3,91.0,6.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
104,ירושלים,אהרונוב 4,3,61.0,2.0,2011,none,none,none,none,none,none,none,none,none,none,none,none,none,none
105,ירושלים,אהרוני 10,3,55.0,,2015,none,none,none,none,none,none,none,none,none,none,none,none,none,none
106,ירושלים,אהרוני 3,3,76.0,3.0,1974,none,none,none,none,none,none,none,none,none,none,none,none,none,none
107,ירושלים,אהרוני 6,3,75.0,3.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
108,ירושלים,אודם,3,63.0,,1980,none,none,none,none,none,none,none,none,1080000,none,1377500,none,none,none
109,ירושלים,אודם 14,3,61.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
110,ירושלים,אודם 18,3,66.0,2.0,1979,none,none,none,none,none,none,none,none,none,none,none,none,none,none
111,ירושלים,אודם 38,3,72.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
112,ירושלים,אוליפנט 2,3,75.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
113,ירושלים,אוליפנט 5,3,116.0,,1920,none,none,none,none,none,none,none,none,none,none,none,none,none,none
114,ירושלים,אולסוונגר 24,3,51.0,,1960,none,none,none,none,none,none,none,"1,200,000",none,none,"1,235,000",none,none,none
115,ירושלים,אולסוונגר 28,3,53.0,,1962,none,none,none,none,none,none,none,none,none,none,none,none,none,none
116,ירושלים,אולסוונגר 29,3,46.0,,1964,none,none,none,none,none,none,none,none,none,none,none,none,none,none
117,ירושלים,אולסוונגר 34,3,53.0,,1960,none,none,none,none,none,none,none,none,none,none,1278103,none,none,none
118,ירושלים,אולשוונגר,3,49.0,5.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
119,ירושלים,אולשוונגר 10,3,45.0,7.0,1964,none,"787,000",none,none,none,none,none,none,none,none,none,none,none,none
120,ירושלים,אולשוונגר 100,3,48.0,5.0,1980,"700,000","850,000",866466,980000,1037500,"955,000",none,none,none,none,none,none,none,none
121,ירושלים,אולשוונגר 101,3,112.0,2.0,1955,825000,"910,000",905000,927500,946000,"1,030,000",none,none,none,none,none,none,none,none
122,ירושלים,אולשוונגר 102,3,45.0,2.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
123,ירושלים,אולשוונגר 103,3,45.0,3.0,1960,793750,"900,000",836666,none,"950,000",945000,none,none,none,none,none,none,none,none
124,ירושלים,אולשוונגר 104,3,49.0,7.0,1960,786000,none,865424,925000,none,none,none,none,none,none,none,none,none,none
125,ירושלים,אולשוונגר 105,3,45.0,,1960,"820,000",none,none,none,"1,057,500",none,none,none,none,none,none,none,none,none
126,ירושלים,אולשוונגר 11,3,53.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
127,ירושלים,אולשוונגר 111,3,53.0,5.0,1960,822500,"870,000",897000,948750,1030500,1018000,1070000,none,none,"1,100,000","1,235,000",none,none,none
128,ירושלים,אולשוונגר 112,3,53.0,6.0,1955,807571,871700,892500,915000,none,1075000,none,"1,320,528","1,240,000","1,280,000",none,none,none,none
129,ירושלים,אולשוונגר 113,3,53.0,2.0,1964,none,897897,879000,890000,986000,"1,180,000",none,"1,100,000",none,none,"1,300,000",none,none,none
130,ירושלים,אולשוונגר 114,3,56.0,1.0,1970,813350,none,925000,none,1062500,"1,115,000",1142500,none,1238750,none,"1,206,207",none,none,none
131,ירושלים,אולשוונגר 115,3,53.0,5.0,1965,783750,"850,000",none,937500,1030000,1083333,1171500,none,"1,277,000",none,none,none,none,none
132,ירושלים,אולשוונגר 12,3,53.0,2.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
133,ירושלים,אולשוונגר 16,3,64.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
