,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
207,באר שבע,אברהם מאפו 25,3,70.0,4.0,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
208,באר שבע,אברהם מאפו 38,3,66.0,3.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
209,באר שבע,אברהם מאפו 5,3,67.0,4.0,1999,none,none,none,none,"760,000",none,none,none,none,none,none,none,none,none
210,באר שבע,אברהם מאפו 6,3,92.0,2.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
211,באר שבע,אברהם מאפו 7,3,70.0,,1999,"515,000",none,none,none,"775,000",none,none,none,none,none,none,none,none,none
212,באר שבע,אברהם מאפו 9,3,93.0,,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
213,באר שבע,אברהם מאפו נ.זאב 11,3,63.0,4.0,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
214,באר שבע,אברהם מאפו נ.זאב 17,3,103.0,4.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
215,באר שבע,אברהם מאפו נ.זאב 19,3,102.0,3.0,1996,none,none,none,none,none,none,none,none,none,none,none,none,none,none
216,באר שבע,אברהם מאפו נ.זאב 25,3,131.0,4.0,1996,none,none,none,none,none,none,none,none,none,none,none,none,none,none
