,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
69,בני ברק,אבן גבירול 30,3,45,1,1960,none,none,"19,062",none,none,none,none,none,none,none,none,none,none,none
70,בני ברק,אבן גבירול 34,3,42,1,1964,none,none,none,none,"950,000",none,none,none,none,none,none,none,none,none
71,בני ברק,אבן גבירול 37,3,59,2,1972,"1,060,000",none,none,none,none,none,none,none,none,none,none,none,none,none
72,בני ברק,אבן גבירול 4,3,89,1,1970,none,none,none,none,none,none,none,none,none,none,"1,450,000",none,none,none
73,בני ברק,אבן גבירול 4,3,83,,1975,none,none,"1,290,000",none,none,none,none,none,none,none,none,none,none,none
74,בני ברק,אבן גבירול 4,3,71,3,1976,none,none,none,"930,000",none,none,none,none,none,none,none,none,none,none
75,בני ברק,אבן גבירול 6,3,69,3,1985,none,none,none,none,none,none,none,none,"1,650,000",none,none,none,none,none
76,בני ברק,אבן גבירול 6,3,71,3,1975,none,none,none,none,none,"1,420,000",none,none,none,none,none,none,none,none
77,בני ברק,אבן גבירול 6,3,80,1,1980,none,none,none,none,"1,201,201",none,none,none,none,none,none,none,none,none
78,בני ברק,אבן גבירול 6,3,68,5,1970,none,none,none,"1,177,000",none,none,none,none,none,none,none,none,none,none
79,בני ברק,אבן גבירול 8,3,68,3,1970,none,none,"1,130,000",none,none,none,none,none,none,none,none,none,none,none
80,בני ברק,אבן גבירול 8,3,68,3,1976,none,none,none,"1,200,000",none,none,none,none,none,none,none,none,none,none
81,בני ברק,אבן גבירול 8,3,68,4,1970,none,none,none,"1,390,000",none,none,none,none,none,none,none,none,none,none
82,בני ברק,אבן גבירול 8,3,68,3,1970,none,none,"1,130,000",none,none,none,none,none,none,none,none,none,none,none
83,בני ברק,אבן עזרא 9,3,75,3,1975,none,"1,100,000",none,none,none,none,none,none,none,none,none,none,none,none
84,בני ברק,אבן שפרוט 1,3,89,,1970,none,none,none,none,none,none,none,none,none,none,"1,450,000",none,none,none
85,בני ברק,אבן שפרוט 15,3,70,3,1960,none,none,none,none,none,"1,350,000",none,none,none,none,none,none,none,none
86,בני ברק,אבני נזר 10,3,80,2,1984,none,none,none,none,"352,500",none,none,none,none,none,none,none,none,none
87,בני ברק,אבני נזר 10,3,75,3,1994,none,none,none,none,"1,500,000",none,none,none,none,none,none,none,none,none
88,בני ברק,אבני נזר 2,3,85,2,1980,none,none,none,none,none,"1,350,000",none,none,none,none,none,none,none,none
89,בני ברק,אבני נזר 6,3,75,2,1972,"1,175,000",none,none,none,none,none,none,none,none,none,none,none,none,none
90,בני ברק,אבני נזר 9,3,75,4,2002,none,"1,165,000",none,none,none,none,none,none,none,none,none,none,none,none
91,בני ברק,אברבנאל 1,3,75,4,2018,none,none,none,none,none,none,none,none,"1,505,850",none,none,none,none,none
92,בני ברק,אברבנאל 1,3,75,2,1960,none,none,none,none,none,"1,630,000",none,none,none,none,none,none,none,none
93,בני ברק,אברבנאל 1,3,77,6,2017,none,none,none,none,none,none,none,"1,405,850",none,none,none,none,none,none
94,בני ברק,אברבנאל 103,3,67,1,1990,none,none,none,none,"1,130,000",none,none,none,none,none,none,none,none,none
95,בני ברק,אברבנאל 103,3,67,2,1992,none,none,"950,000",none,none,none,none,none,none,none,none,none,none,none
96,בני ברק,אברבנאל 117,3,95,1,2019,none,none,none,none,none,none,none,none,none,none,"1,450,000",none,none,none
97,בני ברק,אברבנאל 139,3,75,,2018,none,none,none,none,none,none,none,none,"1,505,850",none,none,none,none,none
